"","X","Country","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Population","Continent","Case.Fatality.rate","GDP","GDP.for.health.expenditure","Population.1","CO2.emission.per.capita","Life.Expectancy","Govhealthexp"
"153",20,12,"Peru",94933,NA,2789,NA,30306,61838,866,2884,85,661132,20085,32915899,NA,2.93786143912022,"7316,973","4,995",31989256,2.052,75.5,"681"
"154",48,40,"Philippines",12942,224,837,6,2843,9262,81,118,8,244800,2238,109403890,NA,6.4673157162726,"3484,895","4,446",106651922,1.051,68.5,"372"
"155",38,30,"Poland",19080,195,941,5,7903,10236,160,504,25,636046,16804,37851327,NA,4.93186582809224,"15988,035","6,542",37974750,7.517,77.5,"1 958"
"156",33,25,"Portugal",29432,223,1247,16,6431,21754,101,2885,122,662375,64938,10200063,NA,4.2368850231041,"23731,127","8,970",10283822,4.332,81.1,"2 917"
"157",28,20,"Qatar",35606,1637,15,NA,5634,29957,172,12384,5,166182,57801,2875047,NA,0.0421277312812447,"70736,879","2,607",2781677,43.857,78.2,"3 354"
"158",136,128,"Réunion",446,NA,0,NA,354,92,4,499,NA,17200,19227,894557,NA,0,NA,NA,NA,NA,NA,NA
"159",41,33,"Romania",17191,155,1126,6,10166,5899,195,893,58,322074,16729,19251921,NA,6.54993892152871,"13414,487","5,158",19466145,3.516,75,"1 368"
"160",10,2,"Russia",299941,9263,2837,115,76130,220974,2300,2055,19,7352316,50383,145927292,NA,0.945852684361258,"11305,118","5,345",NA,NA,75,"1 404"
"161",151,143,"Rwanda",297,NA,0,NA,203,94,NA,23,NA,51118,3959,12911155,NA,0,"873,332","6,572",12301939,0.076,66.1,"134"
"162",51,43,"S. Korea",11078,13,263,NA,9938,877,55,216,5,765574,14934,51264120,NA,2.37407474273335,"31246,041","7,604",51606633,11.57,NA,"2 980"
"163",205,197,"Saint Kitts and Nevis",15,NA,0,NA,15,0,NA,282,NA,391,7356,53155,NA,0,"19023,746","5,037",52441,4.55,NA,"1 442"
"164",200,192,"Saint Lucia",18,NA,0,NA,18,0,NA,98,NA,786,4283,183529,NA,0,"11619,205","4,546",NA,NA,75.2,"662"
